Player,RushYds,Att,TD
Lamar Jackson,1206,176,7
Kyler Murray,544,91,4
Deshaun Watson,413,82,7
Gardner Minshew,344,67,0
Russell Wilson,342,75,3
Daniel Jones,279,45,2
Dak Prescott,277,52,3
Jameis Winston,250,59,1
Carson Wentz,243,62,1
Ryan Fitzpatrick,243,54,4
Jacoby Brissett,228,56,4
Patrick Mahomes,218,43,2
Mitch Trubisky,193,48,2
Ryan Tannehill,185,43,4
Aaron Rodgers,183,46,1
Jeff Driskel,151,22,1
Matt Ryan,147,32,1
Baker Mayfield,141,28,3
Marcus Mariota,129,24,0
Kyle Allen,106,32,2
Dwayne Haskins,101,21,0
Derek Carr,82,26,2
Ryan Finley,77,10,0
Andy Dalton,73,32,4
Drew Lock,72,18,0
Robert Griffin III,70,20,0
Devlin Hodges,68,21,0
Matthew Stafford,66,20,0
Kirk Cousins,63,31,1
